rank,lemma,original_sentence,final_sentence,original_english_sentence
16608,trasladarse,Éste es otro por lo que no tiene que trasladarse a san josé.,Trasladarse a san josé.,This is another one so you don't have to move to San Jose.
16627,enviadas,El comité aprobó las listas que luego fueron enviadas a los estados correspondientes.,Luego fueron enviadas a los estados correspondientes.,The committee approved the lists that were then sent to the respective states.
16697,reflejado,Los resultados aún no se han reflejado completamente en los programas de los países.,Se han reflejado en los programas.,The results have not yet been fully reflected in country programmes.
16727,entendida,No es fácil definir la calidad entendida como atributo de la oferta de la entidad.,Entendida como atributo de la oferta.,It is not easy to define the quality understood as an attribute of the entity's offer.
16752,llevarlas,Trip fontaine y otros chicos del equipo de fútbol quieren llevarlas al baile.,Otros chicos del equipo de fútbol quieren llevarlas al baile.,Trip fontaine and other guys on the football team want to take them to the dance.
16781,lamentó,En este sentido lamentó el peso excesivo de ciertas nacionalidades en algunas direcciones generales.,Este sentido lamentó el peso excesivo.,"In this regard, he regretted the excessive weight of certain nationalities in some Directorates-General."
16828,bibliografía,América latina bibliografía formación profesional ce países comercio exterior estadística económica intercambio comercial.,América latina bibliografía formación profesional ce.,Latin America bibliography vocational training countries foreign trade economic statistics trade.
16879,bastó,Me bastó una mirada en los expedientes del sr kirby resolví el caso de inmediato.,Me bastó una mirada.,All I had was a look at Mr. Kirby's files. I solved the case right away.
16906,mezclada,Creo que estás mezclada con algo mucho más grande de lo que piensas.,Estás mezclada con algo mucho más grande.,I think you're mixed up with something much bigger than you think.
16944,radiaciones,Comité científico de las naciones unidas para el estudio de los efectos de las radiaciones atómicas.,Las radiaciones atómicas.,Scientific Committee of United Nations for the Study of the Effects of Atomic Radiation.
16956,mosaico,Lamento molestarlo pero le llamo en respuesta a su publicación en el mosaico.,Le llamo en respuesta a su publicación en el mosaico.,"I'm sorry to bother you, but I'm calling you in response to your publication in the mosaic."
17015,eliminó,Entonces quién puede decir que uno de esos no eliminó a una gran civilización.,Esos no eliminó a una gran civilización.,Then who can say that one of those didn't eliminate a great civilization?
17032,cesión,Servicios de cesión de los derechos de las películas y de sus ingresos.,Servicios de cesión de los derechos de las películas.,Services for the assignment of film rights and revenues.
17043,explorando,De nuestro cachorro de cuatro semanas de edad y ella está ocupada explorando su casa.,Ella está ocupada explorando su casa.,From our four-week-old puppy and she's busy exploring her house.
17052,estrechas,El pakistán considera prioritarias las reuniones estrechas amistosas y de cooperación con el afganistán.,El pakistán considera prioritarias las reuniones estrechas amistosas.,Pakistan attaches priority to close friendly and cooperative meetings with Afghanistan.
17076,mostraste,Todo lo que dijiste todo lo que me mostraste creí que todo eso era verdad.,Me mostraste creí.,Everything you said you showed me I thought all that was true.
17106,apoyaba,El representante de la oit dijo que su organización apoyaba plenamente la tercera conferencia.,Su organización apoyaba plenamente la tercera conferencia.,The representative of the oit said that his organization fully supported the third conference.
17117,representativo,De alcanzarse un acuerdo el aumento del número de miembros del consejo lo hará más representativo.,Hará más representativo.,"If an agreement is reached, the increase in the number of members of the council will make it more representative."
17147,procedía,El nuevo testamento y aprende lo que cristo nos enseñó y cómo procedía y procura imitarle.,Cómo procedía y procura imitarle.,The New Testament and learns what Christ taught us and how it came about and seeks to imitate him.
17179,indigno,Es indigno de todos aquellos que se expresan en nombre de los derechos humanos.,Es indigno de todos aquellos.,It is unworthy of all those who express themselves in the name of human rights.
17201,consecutivo,En el índice de inflación en la comunidad europea ha disminuido por quinto año consecutivo.,Quinto año consecutivo.,The inflation rate in the European community has declined for the fifth consecutive year.
17212,mencionan,M todas aquellas que se mencionan de forma expresa en el presente convenio.,Se mencionan de forma expresa.,M all those expressly mentioned in this Convention.
17268,levantará,La secretaria general de la institución actuará como secretaria y levantará el acta.,Levantará el acta.,The Secretary-General of the institution shall act as secretary and draw up the minutes.
17269,resolverse,La cuestión debería resolverse sobre la base de los artículos y de la carta.,La cuestión debería resolverse sobre la base de los artículos.,The issue should be resolved on the basis of the articles and the letter.
17290,circulan,A la sigla si las mercancías circulan al amparo del régimen de tránsito comunitario externo.,Las mercancías circulan al amparo del régimen.,Whether the goods are moving under the external Community transit procedure.
17330,acumula,Con el tiempo la energía se acumula hasta que no puede contener toda.,Energía se acumula.,Over time the energy builds up until it can't contain everything.
17335,orientado,La información se había presentado en el informe anual orientado hacia los resultados.,Informe anual orientado hacia los resultados.,The information had been presented in the results-oriented annual report.
17360,difunde,Mientras tanto el nuevo miembro difunde el agradecimiento de su nación al mundo.,Nuevo miembro difunde el agradecimiento.,Meanwhile the new member spreads his nation's gratitude to the world.
17366,somete,El consejo somete a votación el proyecto de resolución que tiene ante sí s.,El consejo somete a votación el proyecto.,The Council proceeded to the vote on the draft resolution before it.
17377,cazado,Cómo puedes hablar respirar cuando tu marido está siendo cazado por esos animales.,Está siendo cazado por esos animales.,How can you talk about breathing when your husband is being hunted by those animals?
17397,ortografía,Te traje porque quiero que empecemos a ir más allá de la ortografía.,De la ortografía.,I brought you here because I want us to start going beyond spelling.
