rank,sentence,english_sentence
7327,Control del de los requisitos de los pagos.,Control of payment requirements.
7328,Voy a tener que volver al boxeo.,I'm gonna have to go back to boxing.
7329,No me había dado cuenta de que tus metas eran tan nobles.,I didn't realize your goals were so noble.
7330,Fue mas astuto de lo que pensé.,He was smarter than I thought.
7331,Parece que es retrasado.,Looks like he's retarded.
7332,Envuelto en papel para la eternidad.,Wrapped in paper for eternity.
7333,Yo misma yo misma te compraré un billete.,I'll buy you a ticket myself.
7334,Te lo explicaré en el taxi.,I'll explain it to you in the cab.
7335,Honorable hermano de la orden.,Honorable brother of the order.
7336,Quiero ver sonrisas limpias y bonitas antes de partir.,"I want to see clean, pretty smiles before I leave."
7337,Así que nos culpas por el aspecto de la valen.,So you blame us for the look of the value.
7338,En la dirección en la que se dirigía.,In the direction he was headed.
7339,Estoy sorprendida que no lo haya matado.,I'm surprised he didn't kill him.
7340,Con el tiempo te olvidas de ese chico.,In time you forget about that boy.
7341,Ves los tres tipos de traje formando un triángulo a su alrededor.,You see the three types of suit forming a triangle around it.
7342,Peleando en la guerra del golfo.,Fighting in the Gulf War.
7343,Lo único que importa ahora es rescatar a helena.,All that matters now is to rescue Hellena.
7344,Me he estado escondiendo todo el tiempo.,I've been hiding all along.
7345,En el día de iván tres campesinos se fueron.,On the day of iván three peasants left.
7346,El que sale en los paquetes.,The one in the packages.
7347,La canción aparece en el film de fired up.,The song appears in the fired up film.
7348,El consumo de electrónica la industria de los videojuegos.,The consumption of electronics by the video game industry.
7349,En caso de empate el presidente tendrá el voto de calidad.,"In the event of a tie, the chairman shall have the casting vote."
7350,Cada vez que lo tocas estoy perdiendo dinero aquí.,"Every time you touch it, I'm losing money here."
7351,Haz lo que creas oportuno con nuestra bendición.,Do what you think is right with our blessing.
7352,No soy uno de tus camaradas.,I'm not one of your comrades.
7353,Bueno si no es nuestro visitante de marte.,"Well, if he's not our Mars visitor."
7354,Menos mal que no pedí doscientos.,Good thing I didn't ask for 200.
7355,Entre un tercio de los niños.,One-third of the children.
7356,Admiro de verdad lo que has hecho hoy por tu hermano.,I really admire what you've done for your brother today.
7357,Quizás es sólo que asumo lo peor de la gente.,Maybe it's just that I take the worst of people.
7358,Por dios ellos crecen muy rápido no es así.,"For God's sake, they grow up so fast, it's not like that."
7359,Se fue volando como los tiempos que corren.,He flew away like the times.
7360,Bueno debe ser la primera vez que haya funcionado.,"Well, it must be the first time it's ever worked."
7361,No somos más que la vanguardia.,We're just the vanguard.
7362,Pensé en dedicarme a eso crecí en una iglesia.,I thought about doing that. I grew up in a church.
7363,Planta la semilla y deja que su imaginación haga el resto.,Plant the seed and let your imagination do the rest.
7364,No puedo ignorar la opinión pública.,I can't ignore public opinion.
7365,Cuidado pujol no le va a salir dos veces.,Careful pujol won't come out twice.
7366,Las abejas están muriendo en todo el mundo.,Bees are dying all over the world.
7367,Lo siento simplemente boom simplemente me vino a la cabeza.,I'm sorry just boom just came to mind.
7368,Escucha a la distancia llamar al hombre futuro él regresará cuando pueda.,Listen to the distance call the future man he'll come back when he can.
7369,Quiero mostrarte un par de cosas básicas.,I want to show you a couple of basics.
7370,Él tiene la convicción de la recién lavado el cerebro.,He has the conviction of fresh brainwashing.
7371,Es un pecado hablar de una rutina diaria.,It's a sin to talk about a daily routine.
7372,No vas a dejarnos en esta selva verdad.,"You're not gonna leave us in this jungle, are you?"
7373,Michel tenías razón acerca de la dirección.,"Michel, you were right about the address."
7374,Salvador garcía muñoz médico y político socialista español.,Salvador garcía muñoz medico y político socialista español.
7375,La ciudad natal de oliver.,Oliver's hometown.
7376,Eres como un viajero del tiempo.,You're like a time traveler.
7377,Está haciendo un ruido espantoso.,He's making a terrible noise.
7378,Sabía que este día llegaría pero ahora que está aquí.,I knew this day would come but now that he's here.
7379,Vamos a revisar el perímetro de la casa.,Let's check the perimeter of the house.
7380,Te estoy echando de mi vida.,I'm kicking you out of my life.
7381,De ellos vivían en ciudades y en el campo.,Of them they lived in cities and in the countryside.
7382,Qué tiene que ver aquí un don agustín.,What's an Augustinian gift got to do with it?
7383,Usted va a ir a la base lunar.,You're going to go to the lunar base.
7384,Todos saben que el zorro ha vuelto.,Everyone knows the fox is back.
7385,El cuerpo humano tiene limitaciones para el estrés.,The human body has limitations on stress.
7386,Banesto en la época de los acontecimientos.,Banesto at the time of events.
7387,Poblaciones entre y habitantes.,Populations between and inhabitants.
7388,Todos los robos comenzaron luego de que lucas escapó.,All the robberies started after Lucas escaped.
7389,Puntos más rápidos por un springbok partidos internacionales.,Faster points for a springbok international matches.
7390,Elección de materias y vías por parte de los alumnos.,Choice of subjects and pathways by students.
7391,Me echaron de la residencia.,I got kicked out of the dorm.
7392,De alguna manera se llenó todo de manteca.,Somehow it was all filled with butter.
7393,Al igual que todos los demás cuando lo coja.,Just like everyone else when you get it.
7394,Por el tema de la concesión.,For the issue of concession.
7395,No puedo ir a ningún lugar sin una linterna.,I can't go anywhere without a flashlight.
7396,Bueno esto tiene algo vago que usted no tiene.,"Well, there's something vague about this that you don't have."
7397,Puedo tener un cigarro en mi boca.,I can have a cigarette in my mouth.
7398,Lloyd eres lo más cercano que tienen a su madre.,"Lloyd, you're the closest they've got to their mother."
7399,Tengo miedo y no podemos parar la marea.,I'm scared and we can't stop the tide.
7400,Creo que la ropa lo hacen más estrecho.,I think the clothes make it tighter.
7401,Este lugar me esta molestando me hace daño.,This place is bothering me. It hurts me.
7402,Qué se supone que significan las palabras.,What the words are supposed to mean.
7403,Está aquí para reunirse con mi esposo mark thompson.,He's here to meet with my husband mark thompson.
7404,Aquí están viendo el programa de la caza de osos.,Here you are watching the Bear Hunting program.
7405,Estoy a la puerta sobre en vuelos comerciales.,I'm at the door on commercial flights.
7406,Las políticas basadas en ambas teorías tam bién resultan divergentes.,Policies based on both theories are also divergent.
7407,Me bajo la manga para que no se vea.,I keep my sleeve down so it doesn't show.
7408,Cómo voy a decírselo a amelia.,How am I going to tell amelia.
7409,Estoy seguro de que no tratará de detenerme.,I'm sure he won't try to stop me.
7410,Promover la paz y la seguridad internacionales.,Promote international peace and security.
7411,El gerente dijo que reunió a todos los padres.,The manager said he brought all the parents together.
7412,Por aquí hay una caja con videos.,Here's a box of videos.
7413,A veces tú no no puedes mirarme fijamente.,Sometimes you can't stare at me.
7414,A pesar de esto algunos condenados siguen haciendo peticiones de permiso.,"Despite this, some convicts continue to make requests for permission."
7415,La política estatal será efectiva.,State policy will be effective.
7416,Situación actual de la península de corea.,Current situation of the Korean peninsula.
7417,La próxima vez iré a ap.,Next time I'll go ap.
7418,Tenía una cierta constancia que te mantenía en movimiento.,I had a certain constancy that kept you moving.
7419,Usualmente esa es tu parte favorita de la visita.,That's usually your favorite part of the visit.
7420,Adolfo pero qué le ha hecho.,"Adolfo, but what have you done to him?"
7421,Así que tiene ganancias cada vez que receta el medicamento.,So you make a profit every time you prescribe the medication.
7422,Proyecto de resolución a c l brasil y el uruguay.,Draft resolution a c l Brazil and Uruguay.
7423,Tienen noventa segundos para completar la misión.,You have ninety seconds to complete the mission.
7424,Hoy la expectativa de los consumidores es realmente muy alta.,Today the expectations of consumers are really very high.
7425,Se sostiene que la situación existente en las cárceles se debe a la política de drogas.,It is argued that the situation in prisons is due to drug policy.
7426,Sé que está con sus nietos.,I know he's with his grandchildren.
7427,El rey está siendo traicionado por tu espía.,The king is being betrayed by your spy.
